,Address,Baths,Beds,Garage,Home Size,Locality,Lot Size,Price,Property Type
236,"2239 229th Pl, Ames, IA 50014 2239 229th Pl Ames IA 50014",No Value,No Value,No Value,No Value,No Value,3.86acres lot,"$228,000",Land
237,"3424 Scenic Pt, Ames, IA 50014 3424 Scenic Pt Ames IA 50014",No Value,No Value,No Value,No Value,No Value,0.33acres lot,"$200,000",Land
238,"Woodbridge Sd Lot 2, Ames, IA 50010 Woodbridge Sd Lot 2 Ames IA 50010",No Value,No Value,No Value,No Value,No Value,1acres lot,"$413,820",Land
239,"2227 229th Pl, Ames, IA 50014 2227 229th Pl Ames IA 50014",No Value,No Value,No Value,No Value,No Value,2acres lot,"$228,000",Land
240,"2904-2922 S Duff Ave, Ames, IA 50010 2904-2922 S Duff Ave Ames IA 50010",No Value,No Value,No Value,No Value,No Value,1.34acres lot,"$465,000",Land
241,"5205 Irons Ct, Ames, IA 50010 5205 Irons Ct Ames IA 50010",No Value,No Value,No Value,No Value,No Value,0.68acres lot,"$90,500",Land
242,"2904 and 2922 S Duff Ave, Ames, IA 50010 2904 and 2922 S Duff Ave Ames IA 50010",No Value,No Value,No Value,No Value,No Value,1.34acres lot,"$465,000",Land
243,"5206 Irons Ct Lot 14, Ames, IA 50010 5206 Irons Ct Lot 14 Ames IA 50010",No Value,No Value,No Value,No Value,No Value,0.68acres lot,"$160,000",Land
244,"Section 32 Franklin Township, Ames, IA 50014 Section 32 Franklin Township Ames IA 50014",No Value,No Value,No Value,No Value,No Value,128acres lot,"$1,232,100",Land
245,"5229 Irons Ct, Ames, IA 50010 5229 Irons Ct Ames IA 50010",No Value,No Value,No Value,No Value,No Value,0.57acres lot,"$95,000",Land
246,"5318 Irons Ct, Ames, IA 50010 5318 Irons Ct Ames IA 50010",No Value,No Value,No Value,No Value,No Value,0.82acres lot,"$160,000",Land
247,"5307 Irons Ct, Ames, IA 50010 5307 Irons Ct Ames IA 50010",No Value,No Value,No Value,No Value,No Value,0.58acres lot,"$95,000",Land
248,"Tullamore Ln Lot 46, Ames, IA 50010 Tullamore Ln Lot 46 Ames IA 50010",No Value,No Value,No Value,No Value,No Value,0.93acres lot,"$129,900",Land
249,"5311 Irons Ct, Ames, IA 50010 5311 Irons Ct Ames IA 50010",No Value,No Value,No Value,No Value,No Value,0.8acres lot,"$120,000",Land
250,"5206 Irons Ct, Ames, IA 50010 5206 Irons Ct Ames IA 50010",No Value,No Value,No Value,No Value,No Value,0.68acres lot,"$160,000",Land
251,"5317 Irons Ct, Ames, IA 50010 5317 Irons Ct Ames IA 50010",No Value,No Value,No Value,No Value,No Value,0.81acres lot,"$120,000",Land
252,"1016 S Duff Ave, Ames, IA 50010 1016 S Duff Ave Ames IA 50010",No Value,No Value,No Value,No Value,No Value,2.72acres lot,"$1,600,000",Land
